Height(in cm),Weight(in kg)
167.0896074,51.25249406
181.6486334,61.90954738
176.2727996,69.41177762
173.270164,64.56219876
172.1810374,65.45201018
174.4925136,55.92898222
177.2971816,64.18086396
177.8373888,61.89820758
172.472731,50.9711763
169.6271944,54.73367658
168.8787326,57.81102615
171.7632582,51.77435166
173.4882992,56.97600863
170.4760624,55.54769279
173.4303618,52.65595307
180.572664,63.50174602
168.81094,58.74120726
174.3691458,64.85154509
180.9250382,62.55147078
170.5131972,56.26577428
172.2978266,64.08379527
174.9521774,65.10823281
161.242121,44.40752316
173.7915498,58.7413887
171.7752216,64.34207056
170.7099456,58.84195004
179.939569,64.60216021
171.4356236,59.67011832
168.9963854,49.13870998
166.2200892,51.66059078
176.589182,46.85677935
167.165528,54.77286693
172.253402,57.05670265
179.311427,61.78943622
182.3842936,63.54891959
175.7835702,58.39938033
169.6813472,64.31907344
171.8536822,54.98981998
172.2298054,59.5783113
162.675189,48.40348271
174.1795602,56.4086104
165.5662678,56.63508889
176.9316756,63.35369359
172.6369674,62.3097516
167.5914352,48.28482304
174.4281246,58.40627493
169.8774352,66.08096085
171.9546472,52.98816385
177.3457718,65.14556343
175.4839518,61.20430254
177.5835666,66.68795766
171.0228228,57.30159697
178.4842506,56.91849317
175.5227376,52.48440457
166.0742424,56.01371321
178.2685538,67.08290022
178.8316718,70.71440313
169.0211504,58.09343253
168.5650172,54.1453224
171.54398,60.69732276
168.9206172,58.39203214
175.2589332,62.38944772
173.491017,58.85827936
170.211877,58.43353581
179.8470368,61.37848187
173.2775554,49.71880879
175.4102156,64.62252649
172.0368162,60.21388441
170.7278272,46.95924578
171.1137802,56.5764848
165.7866382,58.65565981
179.9406612,60.78926586
177.6080268,63.68291066
163.2841032,46.64517868
173.342808,58.29627887
168.5469832,54.56670937
173.641385,62.86948413
166.311326,60.30841298
177.0874538,52.44580389
172.0228716,55.57590621
174.3441014,61.06500444
169.631487,55.29222977
177.9307338,70.47762811
168.3473392,58.48696895
175.7730292,58.55931687
175.6024174,63.26397309
171.1054744,63.90662224
178.0361438,59.68889703
178.248564,54.94051453
173.2929224,59.65310862
173.0484728,61.93703506
178.4161024,64.17855064
181.5783008,63.77975256
175.7801158,50.86639655
177.9601724,60.53502754
179.2148562,59.78347096
168.3675576,54.44396737
161.1014558,55.83590514
169.5884594,58.12473037
174.9740214,52.37894443
164.7808236,46.30843198
170.4155088,59.12707798
173.6029294,60.86487965
166.6512542,44.74291816
172.0989954,51.96345416
172.773848,56.01484719
171.8613022,55.81358842
168.439084,57.3690461
176.3701324,58.24892386
162.1440496,57.69422621
172.0158358,55.36371587
177.9294892,57.88124219
178.2724908,59.71189414
167.5025352,50.75490364
177.81778,55.35591409
174.2726766,58.31138348
174.7727518,60.18222369
177.1957848,61.71717901
166.2566906,52.58959256
174.8163636,62.09860453
167.132762,54.3767904
170.7254396,49.44402276
176.3273334,58.18247264
175.1176584,61.36705135
172.57141,48.46893603
166.6876524,55.92512669
168.9000178,49.67481037
172.5373486,54.11747185
174.991141,63.6118328
178.41214,60.77411589
173.3962242,60.13754487
180.9282894,59.28393009
175.5075738,52.41876981
163.5682022,56.15201341
180.583459,58.12450358
173.2754472,61.67245484
167.4297134,52.90121026
171.289726,57.52639717
187.7087178,68.66988255
177.7529846,59.1493947
176.5772948,61.78231483
165.5682998,51.43683385
172.7420726,56.84809569
173.579536,57.87135388
165.5677918,48.60528579
173.3857086,52.82478001
174.164371,60.708844
163.821745,51.20604624
174.5247462,59.31023843
174.9843592,62.4855185
176.6318794,56.88206973
171.1950856,62.80702451
168.8470334,54.80225969
167.6709118,63.57268781
184.0086236,62.024034
162.8811068,48.13241613
180.2920448,72.10126067
171.4531496,49.34482219
182.918481,62.94759267
165.8910322,52.57748165
170.3707286,66.35697158
163.5543592,49.83910139
176.1998762,63.07192224
173.6831934,54.38572616
165.8878572,58.19898338
170.527726,57.71631614
173.7224872,52.26767832
168.381172,56.60714762
170.653964,57.58400335
167.6185624,50.47168079
176.3621822,55.61441617
172.6555602,56.33993657
172.1137782,56.53811092
165.8077456,54.2119097
187.5374456,63.18459449
169.7053248,47.54846179
169.9110394,55.8110483
166.9686272,53.92859614
167.5963882,55.10866109
169.1232584,54.09030169
170.4668676,61.24576085
167.3220174,52.72009098
169.6229018,49.52004478
174.5888558,56.34687653
168.2157164,64.03108788
167.5375872,58.58145216
174.2026488,58.00049153
169.1474138,54.85034044
170.0929796,57.89947659
172.923581,46.02566273
178.283235,65.76752878
166.4245846,50.32707566
171.345987,60.2653671
171.221019,66.37797289
176.9404132,66.03818712
167.1268946,54.81346342
167.9081732,52.51747143
173.3292698,58.19671542
172.7810362,57.82018871
181.3317176,58.00357595
166.958264,55.11129192
168.7412932,51.12653156
177.8332486,61.23582718
176.4829084,58.36771961
174.3142056,56.42965707
173.641385,63.51467339
173.7113112,53.30567825
174.6862902,65.25995933
177.605944,64.03371872
181.7507668,70.73377151
173.8570056,60.78554641
169.4535092,59.01118522
169.3776902,48.18349059
172.5599546,50.82448465
175.002317,61.77396873
170.9214514,59.52759971
176.7131848,59.56710758
171.8939666,54.21608275
175.365537,53.06867643
172.637831,62.8340586
167.2331428,49.73717927
